Year,State,State Code,Deaths,Population,Crude Rate
1991,Florida,12,10453,13371703,78.2
1991,Georgia,13,3513,6655914,52.8
1991,Hawaii,15,440,1137471,38.7
1991,Idaho,16,395,1041649,37.9
1991,Illinois,17,6533,11576175,56.4
1991,Indiana,18,3587,5619615,63.8
1991,Iowa,19,1668,2798656,59.6
1991,Kansas,20,1402,2499627,56.1
1991,Kentucky,21,2940,3724483,78.9
1991,Louisiana,22,2744,4256824,64.5
1991,Maine,23,864,1237484,69.8
1991,Maryland,24,2697,4868547,55.4
1991,Massachusetts,25,3504,6019893,58.2
1991,Michigan,26,5275,9405654,56.1
1991,Minnesota,27,1932,4442550,43.5
1991,Mississippi,28,1592,2601024,61.2
1991,Missouri,29,3490,5173480,67.5
1991,Montana,30,453,809934,55.9
1991,Nebraska,31,787,1596681,49.3
1991,Nevada,32,820,1296406,63.3
1991,New Hampshire,33,618,1110160,55.7
1991,New Jersey,34,4693,7817415,60.0
1991,New Mexico,35,567,1555923,36.4
1991,New York,36,9999,18130655,55.1
1991,North Carolina,37,3865,6786010,57.0
1991,North Dakota,38,305,636172,47.9
1991,Ohio,39,7067,10951104,64.5
1991,Oklahoma,40,2140,3176556,67.4
1991,Oregon,41,1814,2929085,61.9
1991,Pennsylvania,42,7937,11987818,66.2
1991,Rhode Island,44,623,1010812,61.6
1991,South Carolina,45,1957,3572113,54.8
1991,South Dakota,46,369,704009,52.4
1991,Tennessee,47,3278,4968973,66.0
1991,Texas,48,8507,17405312,48.9
1991,Utah,49,336,1780280,18.9
1991,Vermont,50,270,568691,47.5
1991,Virginia,51,3485,6303660,55.3
1991,Washington,53,2613,5026490,52.0
1991,West Virginia,54,1499,1799502,83.3
1991,Wisconsin,55,2448,4967147,49.3
1991,Wyoming,56,170,459330,37.0
1992,Alabama,1,2728,4155699,65.6
1992,Alaska,2,147,589389,24.9
