Year,State,State Code,Deaths,Population,Crude Rate
1979,Tennessee,47,2113,4537642,46.6
1979,Texas,48,5294,13916436,38.0
1979,Utah,49,241,1421446,17.0
1979,Vermont,50,213,506115,42.1
1979,Virginia,51,2283,5329589,42.8
1979,Washington,53,1683,4018920,41.9
1979,West Virginia,54,988,1940160,50.9
1979,Wisconsin,55,1600,4671398,34.3
1979,Wyoming,56,123,453287,27.1
1980,Alabama,1,1893,3898117,48.6
1980,Alaska,2,82,403594,20.3
1980,Arizona,4,1195,2725485,43.8
1980,Arkansas,5,1233,2288599,53.9
1980,California,6,10056,23729183,42.4
1980,Colorado,8,811,2896401,28.0
1980,Connecticut,9,1479,3109321,47.6
1980,Delaware,10,287,595519,48.2
1980,District of Columbia,11,390,640822,60.9
1980,Florida,12,6477,9764074,66.3
1980,Georgia,13,2247,5472448,41.1
1980,Hawaii,15,284,967282,29.4
1980,Idaho,16,281,945395,29.7
1980,Illinois,17,5319,11448136,46.5
1980,Indiana,18,2626,5494918,47.8
1980,Iowa,19,1226,2917312,42.0
1980,Kansas,20,994,2368222,42.0
1980,Kentucky,21,1920,3663841,52.4
1980,Louisiana,22,1858,4215763,44.1
1980,Maine,23,631,1125413,56.1
1980,Maryland,24,2080,4222450,49.3
1980,Massachusetts,25,2717,5742222,47.3
1980,Michigan,26,3983,9270570,43.0
1980,Minnesota,27,1404,4082304,34.4
1980,Mississippi,28,1156,2525447,45.8
1980,Missouri,29,2644,4924814,53.7
1980,Montana,30,310,788004,39.3
1980,Nebraska,31,612,1572604,38.9
1980,Nevada,32,372,802587,46.4
1980,New Hampshire,33,409,921857,44.4
1980,New Jersey,34,3719,7369031,50.5
1980,New Mexico,35,351,1306062,26.9
1980,New York,36,8558,17569902,48.7
1980,North Carolina,37,2375,5885456,40.4
1980,North Dakota,38,188,653755,28.8
1980,Ohio,39,5507,10809348,50.9
1980,Oklahoma,40,1532,3030739,50.5
1980,Oregon,41,1234,2636626,46.8
1980,Pennsylvania,42,5930,11873224,49.9
